title,industry,company,city,state,zipcode,payLow,payHigh,payType,description
Business Analysis,business administration,TECH AVEEV LLC,New York,NY,null,0,0,null,Builds relationships with business partners and development teams and provides functional leadership and business user perspective to development team members.
President/COO,business administration,Symbinas Pharmaceuticals,Remote,null,null,250000,350000,year,Symbinas Pharmaceuticals (Symbinas.com) is seeking an ambitious and entrepreneurial senior executive as President/COO to disrupt $400 billion ConcussionΓÇª
Office Manager,business administration,Renton School District,Renton,WA,98056,0,0,null,Days Per Week Monday - Friday.Work Calendar 210 Days + Paid Holidays *RSD Work Calendars*.Pay Level RESP 5 *Current Salary Schedule*.
Executive Assistant,business administration,Arbor Home,Remote,null,null,45000,90000,year,Ultimately you will contribute to the efficiency of our business by providing personalized and timely support to executive members.
Business Development Manager (Open for Students),business administration,Precision Education LLC,Remote,null,null,34332,144416,year,The Selected Candidates will begin in an individual contributorΓÇÖs role working in a team of go-getters and will be responsible for mentoring and sales in theirΓÇª
Sales Consultant / Business Coach,business administration,Wealth Creator Clinic,Remote,null,null,50000,300000,year,You will help coach them and run their business as it grows so does your income.HURRY AND APPLY SO WE CAN DO YOUR PHONE INTERVIEW.
Personal Assistant,business administration,Layer One Global,Austin,TX,78701,20,35,hour,Potentially more business functions over time.An ability to both take direction willingly and also ΓÇÿmanage upΓÇÖ (e.g. making proposals as to how you can helpΓÇª
Business Administration,business administration,GENETICS CENTER,Orange,CA,92868,0,0,null,GENE TICS CENTER in Orange California is a comprehensive human genetics services facility and has business administration sales and marketing positions inΓÇª
Executive Administrative Assistant (100% Remote),business administration,Nice Healthcare,Remote in,MN,null,0,0,null,Nice actively seeks a mixture of beliefs backgrounds education and point of view to help us drive better more informed design and business decisions.
Administrative Assistant,business administration,City of Santa Barbara,Santa Barbara,CA,93101,64497,78397,year,Supports the Public Works Business Manager in financial administration functions especially:Supports the Water Resources Financial Officer in the financialΓÇª
Small Business Consultant,business administration,Get Beyond,Elizabethtown,KY,42701,46065,134062,year,Deliver solution driven presentations to business partners.As a trusted partner to our clients youΓÇÖll help guide their business to success using our suite ofΓÇª
Director Business Development,business administration,BestCo LLC,Mooresville,NC,28115,0,0,null,"BachelorΓÇÖs degree in business administration.At least 10 yearsΓÇÖ experience selling or buying business-to-business or.""NO OUTSIDE RECRUITING AGENCIES PLEASE""."
Executive Assistant to CEO,business administration,ABA Centers of America,West Palm,FL,null,90000,120000,year,Manage extensive organization and planning of business and personal travel aspects for a busy CEO while keeping a keen eye on CEOΓÇÖs preferences.
Administrative Assistant,business administration,Mayo Clinic,Scottsdale,AZ,85259,20.44,20.44,hour,Position requires high school diploma or G. E. D. with a minimum of two yearsΓÇÖ experience in an administrative support role or one-year degree/diploma in anΓÇª
Administrative Assistant Supply Chain,business administration,StockX,Remote in,MI,48226,0,0,null,We are driving innovation and customer-centric supply chain solutions for our dynamic business model.Help shape the next generation of ecommerce for the nextΓÇª
Product and Business Strategy Lead,business administration,Google,Mountain View,CA,null,0,0,null,Excellent communication problem-solving and business judgment skills.Our team pushes Google to scale at key points that refine our products and infrastructureΓÇª
Operations Administrative Assistant - Houston TX,business administration,Precision Drilling Corporation,Houston,TX,null,45000,45000,year,The Administrative Assistant will support the Field and Operations Groups by handling purchase orders work orders and invoices.401(k) matching up to 5%.
Coordinator Doctorate of Business Administration Program,business administration,University of Rhode Island,Kingston,RI,2881,39543,82993,year,Job Title Coordinator Doctorate of Business Administration Program.Union Non-Union Non-Classified Staff.Status Calendar Year Part-time Limited.
Global Business Process Owner,business administration,Deloitte,Hybrid remote,FL,33602,0,0,null,We believe that business has the power to inspire and transform.Develop an effective strategic business partnership with globally dispersed team and clients.
Adjunct - Professor Business Administration,business administration,San Bernardino Community College District,San Bernardino,CA,92408,66,70,hour,Master's in business business management business administration accountancy finance marketing or business education.Salary: $66.00 - $70.00 Hourly.
Business Planner,business administration,Microsoft,Redmond,WA,98052,0,0,null,Proactively identify and evaluate opportunities for improvement of Xbox All Access business performance.5+ years of product management strategy consultingΓÇª
Administrative Assistant - Chicago,business administration,Buildingstars,Schaumburg,IL,60193,0,0,null,Make phone calls to schedule appointments.Answering phone calls and greeting customers.Coordinate activities throughout the office to ensure efficiency andΓÇª
Vice President U.S. Programs,business administration,United States Fund for UNICEF,New York,NY,null,160000,160000,year,The VP directs the design implementation and evaluation of a comprehensive domestic program that works through partnerships with governments civil societyΓÇª
Integrated Business Planning Data Analyst Remote,business administration,Cargill,Remote in,MN,null,0,0,null,Use metrics to drive process improvement and meet business goals.Implement lead and ensure continuous improvement of the integrated business planning process.
Business Process Consultant Senior,business administration,City of Austin,Remote in,TX,78701,35.53,46.19,hour,Exceptional business and financial acumen to identify opportunities and develop sound business cases for change.Grant Funded or Pooled Position Not Applicable.
Business Development - Remote,business administration,Hope Public Adjusters,Remote in,IN,46168,45000,65000,year,Manage business opportunities contacts and activity in CRM.The Business Development Specialist will enthusiastically promote and support HOPE by developingΓÇª
DreamWorks TV - Administrative Assistant,business administration,NBCUniversal,Glendale,CA,null,0,0,null,DreamWorks Animation is currently seeking an Administrative Assistant to support two Current Series executives.
Manager Business Development & Operation Administration @ J...,business administration,MITSUKOSHI (U.S.A.) INC.,Orlando,FL,32830,From,From,a,"Create company-wide policies and various plans to deliver the ""best experience for guests"" and manage the progress of business performance."
Business Development Graduate,business administration,Benthic,Houston,TX,77043,0,0,null,The Business Development Graduate is mainly responsible for assisting the sales and business development team in order to gain the skills and experience toΓÇª
Business Planning Analyst,business administration,avidxchange,Remote in,NC,28206,0,0,null,From performing ad hoc analysis supporting the operational cadences of the business and ensuring team alignment with long-term objectives Business PlanningΓÇª
Business Process Manager Customer Service,business administration,Survitec Group Limited,Remote in,FL,null,0,90000,year,Your role supports the business by translating complex business requirements into detailed functional specifications to meet business and IT strategy.
Secretary to the Director of Operations,business administration,Region 8 ESC,Texarkana,TX,75503,0,0,null,Responsible for providing secretarial clerical and record-keeping services for the Director of Operations.
Director of Business Development,business administration,Issuer Pixel,Remote,null,null,110000,120000,year,Research and evaluate new cutting-edge business development channels.This individual will be responsible for strategic development and tactical execution ofΓÇª
Business Consultant (Hospitality & Retail),business administration,Employ Prince Georges Inc,Remote in,MD,20774,0,0,null,Uses other customer relations management databases to track business prospects outcomes from initial contacts with area businesses and follow-up efforts.
Director of Business Development,business administration,Drisit,Remote,null,null,120000,160000,year,Creating a business development roadmap.We are looking for a bus dev person with track record of creating a bus dev plan identifying target markets andΓÇª
Administrative Assistant,business administration,Levi Strauss & Co.,null,null,null,0,0,null,Maintain business documents using software applications.This position can be remote but must be willing to work PST hours.Track and order office supplies.
Designer/Illustrator (Remote),creative arts,Brafton,Remote,null,null,0,0,null,This is a remote position and is open to candidates in any US state.Boston and Chicago candidates will have the option to work in one of our offices in theΓÇª
Marketing Communications Manager Visual and Performing Arts,creative arts,University of Hartford,West Hartford,CT,6117,50764,50764,year,Identifies creative copywriting editing or other needs as necessary and appropriate.Assumes responsibility for overseeing the development and execution of anΓÇª
Asst Mgr - Marketing Biolage DMI,creative arts,L'Oreal,New York,NY,10001,0,0,null,College degree (BFA BA or AAS) in visual arts or other creative fields preferred.Also to liaise between different departments participate in senior levelΓÇª
Program Specialist - Urbana Arts & Culture,creative arts,City of Urbana,Urbana,IL,null,16,18,hour,Knowledge of coordination of arts and cultural programming.The skills necessary for this position include general arts and cultural development and eventΓÇª
Group Creative Director-Brand,creative arts,Mayo Clinic,Remote in,MN,null,0,0,null,The Group Creative Director provides strategic and innovative creative direction and guidance to internal vended and partner creative resources and productionΓÇª
Creative Arts Therapist,creative arts,Youth Justice Network,New York,NY,null,32,35,hour,We are seeking a compassionate creative and energetic therapist who will conduct screenings/assessments provide individual and group therapy and supportΓÇª
Humanities Lecturer Pool - Creative Arts,creative arts,California State University,San Jose,CA,null,0,0,null,MA/MFA ABD or Ph.D. in Performance Studies Art History Literature or a related arts discipline with working knowledge of more than one arts area.
Performing Arts Lovers,creative arts,DCM,New York,NY,null,25,30,hour,A passion for the performing arts.Theater lovers fundraisers computer savvy sellers closers actors artist dancers performing arts lovers writersΓÇª
Arts and Culture Pottery Instructor ΓÇô Denver Parks and Recre...,creative arts,City and County of Denver,Denver,CO,null,16,16,hour,Associate degree or higher in fine arts or a related field.We offer a wide variety of classes in areas such as: fine arts pottery ceramics sewing musicΓÇª
Entertainment Arts Program Assistant,creative arts,College for Creative Studies (CCS),Detroit,MI,48202,0,0,null,CCS has state-of-the-art facilities to support the complete range of creative production from traditional art forms such as painting glassblowing foundryΓÇª
GRAPHIC DESIGNER,creative arts,Hershey Entertainment & Resorts Company,Hershey,PA,null,0,0,null,Listen to business objectives and provide creative solutions.*.Complete projects both independently and in partnership with the creative team.
Creative Associate,creative arts,Tencue,Berkeley,CA,94702,0,0,null,Assists with creative training assets including slideshows and printed materials.3+ years working on a collaborative creative team delivering project-basedΓÇª
Assistant Curator,creative arts,State of New Mexico,Santa Fe,NM,87505,34226,59553,year,Bachelor's degree in Museum Studies Museology Art Art History Art Administration Anthropology American Studies Archaeology Curatorial Studies HistoryΓÇª
Adjunct Professor Online Graduate English & Creative Writi...,creative arts,Liberty University,Lynchburg,VA,24515,0,0,null,Part-time non-benefited online adjunct position with Liberty University Online in the College of Arts & Sciences.Excellent record of collegiate teaching.
Packaging Specialist,creative arts,Oral Arts Laboratory Inc,Huntsville,AL,35804,0,0,null,If you enjoy working with your hands being productive and creative making a difference and working with awesome people we might be what youΓÇÖre looking for!
HERITAGE-ARTS & CULTURES COLLECTIONS MANAGER,creative arts,University of Washington,Seattle,WA,98195,0,0,null,The HAC is engaged with indigenous communities artisans and cultural bearers and this position will be responsible for supporting them and the appropriateΓÇª
Game Writer (Star Wars Jedi Team),creative arts,Electronic Arts,Los Angeles,CA,null,0,0,null,In collaboration with the narrative team and leads/directors help develop compelling engaging and immersive narrative game experiences.
Expressive Creative Arts Therapist,creative arts,Charlie Health,Remote in,null,null,0,0,null,Must be a certified or licensed creative arts therapist (all disciplines are welcome to apply).Well versed in a variety of modalities (yoga art dance music)ΓÇª
Pullen Arts Center Teaching Artist for Youth Teen and Famil...,creative arts,City of Raleigh,Raleigh,NC,27601,30,30,hour,We are accepting applications from teaching artists who have experience teaching youth teens and/or families.
Creative/ Marketing Designer,creative arts,ATC,Remote,null,null,0,0,null,For this you need to have a creative flair and a strong ability to translate requirements into design.With our startup incubator known as Startup Studios weΓÇª
Creative/Expressive Arts Specialist I,creative arts,North Carolina Dept of Health and Human Services,Morganton,NC,28655,31200,48058,year,Bachelor's degree in creative/expressive arts area (art drama music dance) from an appropriately accredited institution;
User Experience Researcher,creative arts,Electronic Arts,Redwood City,CA,94065,0,0,null,They partner in every development phase while improving their expertise to create greater experiences for players.Mobile or FPS research experience preferred.
Creative Writing Instructor at Stivers School for the Arts,creative arts,Stivers School for the Arts,Dayton,OH,45402,20,20,hour,Pay Rate: * $20.50/hr up to 15 hours per week.\*Must be able to pass background check\**.Stivers School for the Arts hires artistic professionals to impartΓÇª
Video Communication Creative Designer,creative arts,CPS Energy,San Antonio,TX,78205,0,0,null,Provide graphic arts media that is suitable for photo print mechanical and/or digital reproduction.This position interfaces with various executives partnersΓÇª
One-Year Writer-in-Residence position in Creative Writing,creative arts,Emerson College,Boston,MA,2116,0,0,null,The ideal candidate will be a fiction and nonfiction writer with a published or forthcoming book and experience teaching creative writing at the college level.
Creative Arts Therapist (GF),creative arts,Northwell Health,New York,NY,null,0,0,null,Encourages independent creative expression through the use of creative arts music or related media.Minimum of one (1) year experience practicing creative artsΓÇª
Graphic Designer Player Partnerships,creative arts,PGA Tour,Ponte Vedra,FL,null,0,0,null,Manage ClearSlide vendor relationship and be Player Partnerships central creative services resource.This includes standard collateral custom proposal graphicsΓÇª
CAD Designer,creative arts,Snapchat,Los Angeles,CA,90291,0,0,null,BachelorΓÇÖs in a related field such as industrial design product design transportation design 3D modeling architecture fine arts or equivalent years ofΓÇª
Game Product Manager,creative arts,Electronic Arts,Redwood City,CA,94065,0,0,null,Experience in one or more of the following areas is a plus: product management consumer internet products design / creative industry (e.g. working at agency)ΓÇª
Concept Artist - CONTRACT,creative arts,Mohau Productions LLC,Remote,null,null,0,0,null,Strong foundation in the traditional arts including but not limited to figure drawing landscape painting and illustration.
Game Product Manager,creative arts,Electronic Arts,Redwood City,CA,94065,0,0,null,Experience in one or more of the following areas is a plus: product management consumer internet products design / creative industry (e.g. working at agency)ΓÇª
Concept Artist - CONTRACT,creative arts,Mohau Productions LLC,Remote,null,null,0,0,null,Strong foundation in the traditional arts including but not limited to figure drawing landscape painting and illustration.
Project Coordinator Arts,creative arts,YMU Group,Los Angeles,CA,null,62400,62400,year,Reports to: *Director of Production.Job Purpose: *The Project Coordinator will be responsible for providing general production support to the Arts division.
Copy,creative arts,iNET-Web,Waukesha,WI,53186,0,0,null,Liberal arts degree / college student.Effective SEO copywriting is 1 part analytical 1 part creative.If you're in school for business writing creativeΓÇª
Research Assistant-- Youth Family and Community Developmen...,creative arts,American Institutes for Research,Hybrid remote,null,null,0,0,null,We seek enthusiastic creative and committed critical thinkers to join our program area.Youth Development & Family Engagement (e.g. arts community schoolsΓÇª
Head of Brand and Creative,creative arts,Backstage,Remote,null,null,0,0,null,Lead large-scale creative projects from concept through delivery managing resources and directing high-quality creative output on time and budget .
Creative Arts Therapist,creative arts,Cross Creek Hospital,Austin,TX,78754,0,0,null,Foster creative expression for our patient's at their most vulnerable time.Hold therapeutic groups for our patient populations ages 12 to 100.
Creative Arts Director Pflugerville,creative arts,Gateway Church,Austin,TX,78729,45000,50500,year,The Creative Arts Director is a pastoral leadership position that grows a multiplying number of creative arts (music production writers dancers designersΓÇª
Digital Arts Teacher,creative arts,The King's Academy,Sunnyvale,CA,94085,60000,113624,year,This position includes three digital arts courses for which the teacher solely plans teaches and evaluates student learning.Job Status: Full-Time 10 Months.
Creative Staff,creative arts,Fairplex (Los Angeles County Fair Association),Pomona,CA,null,0,0,null,Creative staff provides clerical assistance for Fair competitions and works within a fast paced environment to meet the demands of multiple projectsΓÇª
Summer Positions,creative arts,SUNSHINE SCHOOL,San Jose,CA,null,0,0,null,Our human resources department will review your completed form.Please read our staff handbook to understand your right responsibility and the expectationΓÇª
Color Expert Lip Lab,creative arts,Kendo Holdings,Bloomington,MN,null,0,0,null,Paid training; all our trainings are paid and youΓÇÖll always be kept up to date.Competitive pay with the potential for sales bonuses.
Dishwasher Part-time - Saint Kate The Arts Hotel,creative arts,Saint Kate The Arts Hotel,Milwaukee,WI,53202,0,0,null,Keep the kitchen clean and tidy by emptying garbage cans washing pots and pans and loading and unloading the dishwasher.
YouTube Video Editor,creative arts,Viral Integrations LLC,Remote,null,null,9,36,hour,Excellent attention to detail and willingness to be creative.Assist with use of camera angles and equipment and offer creative suggestions to the team.
Arts and Creative Partnerships Associate,creative arts,Amnesty International Of The Usa,New York,null,null,47655,58335,year,Experience and/or familiarity with arts and entertainment community.Help identify and manage partner relationships within the fields of arts and entertainmentΓÇª
Assistant Studio Manager,creative arts,Sony Music Entertainment US,New York,NY,null,0,0,null,Your role will support our team of technicians and employees as well as assist to keep our studio space operating at a professional level.
Creative Arts Therapist,creative arts,Metropolitan Jewish Health System,Brooklyn,NY,11235,0,0,null,Located along scenic waterfront property in Brooklyn NY our Centers for Rehabilitation and Nursing Care have earned a reputation for providing quality andΓÇª
Creative Arts Therapy Coordinator-Part Time-Day-MSH,creative arts,Mount Sinai,New York,NY,null,0,0,null,Maintain accurate creative art therapy session statistics in quality assurance efforts.The Creative Arts Therapy Coordinator provides creative art therapyΓÇª
Intake Coordinator,creative arts,Marsh Psychotherapy,Remote,null,null,15,18.5,hour,Empathy compassion and patience represent key traits required for this job.2 years in a sales related position.Awareness of and interest in therapy.
Creative Arts Director,creative arts,Rolling Hills Community Church,Franklin,TN,37064,0,0,null,In addition the Creative Arts Director is responsible for providing leadership and vision in planning conducting and evaluating a comprehensive weekendΓÇª
FotoFocus/Mz. Icar Mural Apprentice,creative arts,Art Opportunities Inc,Cincinnati,OH,45206,11.01,11.01,hour,Must be at least 14 years old and no older than 21 years by the project start date.All ArtWorks employees will be required to provide proof of COVID-19ΓÇª
Reading Language Arts Curriculum Leader (Grades K - 5) - Edu...,creative arts,Public Consulting Group,Remote in,TX,78701,0,0,null,Collaborative flexible creative problem-solvers.PCGΓÇÖs Education Consulting service line seeks a Reading Language Arts Curriculum Leader (Grades K - 5) for aΓÇª
Gameplay Designer (Singleplayer Incubation Team),creative arts,Electronic Arts,Los Angeles,CA,null,0,0,null,Develop design documents prototyping iterating testing and problem solving.Design and build engaging in-game levels that are successful in terms of flowΓÇª
Expressive Arts/Holistic Psychotherapist (LMHC or equivalent...,creative arts,Cherubino Health Center,Southborough,MA,1772,60,80,hour,The ideal Expressive Arts/Holistic Psychotherapist holds a current license in Mental Health Counseling (LMHC) or equivalent with their own liability insuranceΓÇª
Freelance Graphic Designer,creative arts,QWQER Services LLC,Remote,null,null,20,30,hour,Establish creative direction for the company as well as brand guidelines.Qualifications*: * Bachelor's degree in graphic arts design communications orΓÇª
Content Producer,creative arts,The Museum of Modern Art,New York,NY,10019,0,0,null,Strong enthusiasm for arts and culture preferred.Manages the workflow of individual content initiatives as assigned including budget timelines releases andΓÇª
Graphic Artist (REMOTE),creative arts,Florida Blue,Remote,null,null,0,0,null,Collaborate and design creative materials for GuideWell and Florida Blue.Partner with colleagues on the creative team to translate business objectives intoΓÇª
Gallery Attendant,creative arts,Dallas Museum of Art,Dallas,TX,75201,13,13,hour,Classification: * Hourly Non-Exempt Part-Time and Full-Time.Schedule: * Flexible schedules including evening and early morning posts weekends special eventsΓÇª
Infant and Toddler Teachers Needed,creative arts,Tiny Tots Development Center,Seattle,WA,98118,18.5,21,hour,Arrange indoor and outdoor space to facilitate creative play motor-skill activities and safety.Organize and lead activities designed to promote physicalΓÇª
Architecture Associate (entry level / recent graduate),creative arts,BDG Architects,Tampa,FL,33602,0,0,null,This is a full-time entry-level position for a recent graduate with a Bachelor of Architecture or Masters of Architecture Degree.
Proof Pizza Cook Full-time - Saint Kate The Arts Hotel,creative arts,Saint Kate The Arts Hotel,Milwaukee,WI,53202,0,0,null,Along with being a Marcus Hotels & Resorts associate you will receive amazing benefits!Room discounts at Marcus Hotels & Resorts properties.
Editorial Specialist- Games Amazon Games,creative arts,Amazon.com Services LLC,San Diego,CA,null,0,0,null,Education background in writing or language arts or communication.2+ years of professional writing experience.
Animation Asset Coordinator,creative arts,Lucasfilm,San Francisco,CA,94129,0,0,null,The Animation Asset Coordinator supports the Animation Manager Franchise Asset Management in transferring/uploading files metadata tagging and fulfillingΓÇª
Graphic Designer,creative arts,Toshiba America Business Solutions Inc.,Lake Forest,CA,92630,0,0,null,Explore new creative options while ensuring alignment with brand guidelines business objectives and long-term strategic vision.May be required to travel.
Designer,creative arts,Raindrop Agency Inc.,Remote,null,null,0,0,null,Assist with creative concepting for campaigns.Design marketing materials such as digital and print advertisements social posts emails brochures and reportsΓÇª
Creative Arts Day Camp Instructor,creative arts,Virginia Commonwealth University,Richmond,VA,23284,0,0,null,Provide instruction for program participants.Teach a session to provide students with experience in a variety of media including sculpture digital mediaΓÇª
Senior Creative Director,creative arts,Boom Supersonic,Remote in,CO,null,190000,220000,year,Plan and oversee all creative projects from concept to completion including partnership campaigns paid media creative special event activations and more.
Assistant Editor,creative arts,Harvard Business Publishing,Brighton,MA,null,0,0,null,YouΓÇÖll also work closely with product management project management production and marketing colleagues ensuring HBPΓÇÖs brand and quality standards permeateΓÇª
Creative Designer,creative arts,Fresh N' Lean,Anaheim,CA,92801,0,0,null,Help to evolve creative direction for the company as well as brand guidelines.Bachelor's degree in graphic arts design communications or related field.
Dean of Arts and Sciences,creative arts,Virginia Community College System,Spotsylvania,VA,null,96600,144900,year,Creative and energetic advocate for the humanities humanities fine arts and social sciences.Agency/Division Germanna Community College (Div).
Manager People and Policy Excellence,creative arts,Electronic Arts,Remote in,CA,null,0,0,null,Work with business leaders to develop and implement creative solutions and policies to effectively meet both business and worker needs.
Full Time NTT Lecturer in Creative Writing,creative arts,University of Vermont,Remote in,VT,null,0,0,null,A sample of creative work (no more than 20 pp.).The Department of English at the University of Vermont (UVM) invites applications for a non-tenure track fullΓÇª
Creative Director,creative arts,CVS Health,Remote in,null,null,0,0,null,Lead and mentor creative team members.They should enjoy leading and mentoring creative teams.10+ years of relevant work experience in a creative director roleΓÇª
Reading Language Arts Curriculum Leader (Grades K - 5) - Edu...,creative arts,Public Consulting Group,Remote in,TX,78701,0,0,null,Collaborative flexible creative problem-solvers.PCGΓÇÖs Education Consulting service line seeks a Reading Language Arts Curriculum Leader (Grades K - 5) for aΓÇª
Client Success Operations Manager,creative arts,AudienceView,null,null,null,0,0,null,The Client Success Operations Manager is an integral function of the Client Success division to drive efficiency at scale.
Visiting Creative Writer & Online Instructor,creative arts,Houghton College,Remote in,NY,14744,0,0,null,Stories or significant publication on other platforms; some experience teaching creative writing.Or her specialty (preferably fiction or screenwriting) for aΓÇª
Creative Director,creative arts,Workit Health,Remote,null,null,100000,120000,year,Responsibilities* Create company guidelines for visual brand standards and ensure those standards are actively followed Manage the creative process from conceptΓÇª
Teaching Artists ΓÇö Visual and Multimedia Arts,creative arts,Creative Art Works,Hybrid remote,NY,10018,40,50,hour,∩é╖ Ability to teach both visual arts and multimedia arts programs.Visual and/or multimedia arts and equally strong experience teaching children teens and/orΓÇª
Usher,creative arts,Metopera,New York,NY,null,0,0,null,The role of the Usher is a part-time position on a performance call and as needed basis dependent on the events scheduled in the opera house.
Coordinator Creative Arts,creative arts,Cuyahoga Community College,Cleveland,OH,44115,0,0,null,Employment Type: Full-Time Support Staff.Work Schedule: Standard College Hours: M-F 8:30am-5pm.Coordinates the day to day operations of the department.
Concept Artist,creative arts,Visual Concepts,Novato,CA,94949,0,0,null,Collaborate closely with the Art Director and other artists to produce quality designs that define and expand the look of the game.
Creative Media Arts Director,creative arts,Camping World,Chicago,IL,60606,0,0,null,Take creative ideas and suggestions from Sr. Leadership and formulate them into actionable creative treatments.
Photo Archive Coordinator,creative arts,Warner Music Group,Los Angeles,CA,90028,0,0,null,Global Asset Management is also responsible for the quality control and distribution of assets that feed the physical and digital supply chain includingΓÇª
Airport Arts Program Coordinator II,creative arts,San Diego County Regional Airport Authority,Remote in,CA,null,0,0,null,Four years of progressively responsible experience involving the development management coordination or administration of civic or community-based arts &ΓÇª
Creative Assistant,creative arts,Thrive Performing Arts,Hollywood,FL,33024,15,17,hour,Assist owner and staff with social media content social media interactions postings and photos for all channels.Assist with influencer outreach and tracking.
Summer Computer Arts Teacher,creative arts,The Park School,Brookline,MA,2445,500,500,week,"CAAP is seeking a Computer Arts Teacher to teach classes in Computer Animation Digital Art Digital ""World"" Building (using Unity and Blender programs) andΓÇª"
Creative Arts Thrpst-L III,creative arts,NYC Health + Hospitals,New York,NY,null,0,0,null,Provides direct creative arts therapy services including facilitating groups and documenting of same in patients' medical records.
Summer Arts Staff (Part Time/Seasonal),creative arts,City of Carlsbad CA,Carlsbad,CA,92009,16.5,16.5,hour,A passion for the arts and the desire to learn about and participate in teaching the arts to program participants.No prior art making experience necessary.
Manager People and Policy Excellence,creative arts,Electronic Arts,Remote in,CA,null,0,0,null,Work with business leaders to develop and implement creative solutions and policies to effectively meet both business and worker needs.
CREATIVE CLIMATE AWARDS,creative arts,Human Impacts Institute,Brooklyn,NY,null,0,0,null,Strength of messaging and connection to climate change;Feasibility of project (in terms of permitting requirements materials etc.).
Art Gallery Curator - Part Time,creative arts,Columbia State Community College,Columbia,TN,38401,35570,44560,year,Knowledge of and/or training in the area of visual arts.Self-starting entrepreneurial and creative in formulating and executing ideas opportunities andΓÇª
Creative Arts Therapy & Programming Coordinator,creative arts,Ali Forney Center,New York,NY,10027,60000,67000,year,Provide support to Treatment Teams across all AFC programs for clients receiving creative arts therapy and provide ongoing crisis management support.
Business of Creative Enterprises/Comedic Arts Administrative...,creative arts,Emerson College,Boston,MA,2116,0,0,null,The administrative assistant will split their time equally in support of two first-of-their-kind academic programs: Comedic Arts and Business of CreativeΓÇª
Adjunct Instructor College of Arts and Sciences,creative arts,University at Buffalo,Buffalo,NY,14260,0,0,null,Assignments include seated or on-line courses in a discipline of expertise.Demonstrate appropriate knowledge of subject.
Work Assistant- Creative,creative arts,Liberty University,Lynchburg,VA,24515,0,0,null,Assist the Creative Team in making digital and print pieces for the University.Computer knowledge including MS Office and Adobe Suites.
Creative Arts Day Camp Instructor,creative arts,Virginia Commonwealth University,Richmond,VA,23284,0,0,null,Provide instruction for program participants.Teach a session to provide students with experience in a variety of media including sculpture digital mediaΓÇª
Worship and Creative Arts Pastor,creative arts,Encounter Church,Jackson,MI,49203,0,0,null,null
Junior 3D Artist,creative arts,Storm8,Remote in,CA,null,0,0,null,BA degree in fine arts or related field or equivalent professional experience.The Junior 3D Artist will show a diverse portfolio of recent samples thatΓÇª
Apple Professional Learning Specialist,creative arts,Apple,Albany,GA,null,0,0,null,Experience developing creative curriculums specifically infusing digital resources to promote learning.Excellent knowledge and use of peripherals and apps toΓÇª
Overhire Stage Hand,creative arts,Guthrie Theater,Minneapolis,MN,55415,22.65,22.65,hour,Demonstrates creative problem solving skills.The Guthrie employs overhire staff on an as-needed basis which varies throughout the year based on the needs ofΓÇª
Insomniac - EDCLV 2022 Seasonal VIP Squad,creative arts,Live Nation,Las Vegas,NV,89119,0,0,null,Proactive and creative thinker; problem solving and ability to think on your feet.Therefore the ability to adapt to a diverse and creative set of tasks willΓÇª
Gallery and Bookshop Attendant,creative arts,Harvard University,Cambridge,MA,null,0,0,null,Minimum of 1 year of related experience working as a gallery attendant or similar position in a museum gallery arts or cultural organization.
Packaging Team Member,creative arts,Gilson Graphics,Grand Rapids,MI,49505,From,From,an,As a member of the Gilson Packaging department team members are responsible for performing handwork kitting and packaging to meet customer requirements andΓÇª
Music Researcher & Digital Producer,creative arts,All Classical Public Media Inc,Portland,OR,97214,40165,47237,year,Supervisor: Director of Music and Programming.Status: Hourly / Non-Exempt / Union / 40 Hours Per Week.This position will be responsible for researching andΓÇª
Two Assistant/Associate Professor positions in Studio Arts,creative arts,George Mason University,Fairfax,VA,22030,0,0,null,Successful experience teaching studio arts at the college level;Active record of recognized professional activity and creative research; and.
Creative Art Instructor,creative arts,Kasefa Care,Belleville,NJ,7109,0,0,null,Teach participants basic skills necessary to engage in creative arts.Maintain progress documentations of participantsΓÇÖ responses to creative arts activities.
Associate Storyboard Artist (PH),creative arts,Lucasfilm,San Francisco,CA,94129,0,0,null,The Associate Storyboard Artist works closely with other Storyboard Artists writers and directors to convey a story through visual storytelling techniques in aΓÇª
Creative Arts Director Pflugerville,creative arts,Gateway Church,Austin,TX,78729,45000,50500,year,The Creative Arts Director is a pastoral leadership position that grows a multiplying number of creative arts (music production writers dancers designersΓÇª
Research Assistant,creative arts,Stanford University,Stanford,CA,null,0,0,null,Develop creative approaches for empirical research with direction from the Senior Fellow and her research director (e.g. open-source intelligence surveyΓÇª
Creative Arts Therapist,creative arts,Metropolitan Jewish Health System,Brooklyn,NY,11235,0,0,null,Located along scenic waterfront property in Brooklyn NY our Centers for Rehabilitation and Nursing Care have earned a reputation for providing quality andΓÇª
Middle School Teacher - Language Arts & Religion,creative arts,St. Ignatius School,St. Louis,MO,null,0,0,null,Ideal candidate is certified and a practicing Catholic.Candidate must be prepared to work with part of a dynamic team.
Frontend Engineer - Coverfly,creative arts,Backstage,Remote,null,null,0,0,null,Backstage provides solutions that manage the entire project lifecycle including talent discovery and staffing production post production and distribution.
Assistant Content Manager,creative arts,Electronic Arts,San Francisco,CA,94105,0,0,null,As an Assistant Content Manager you will report to the Development Director to support all aspects of content production including data entry inventoryΓÇª
